,Job Title,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,company,age,python_yn,R_yn,spark,aws,gcp,azure,sql,excel,job_simp,seniority,desc_len
10,DevOps Engineer,"Are you an experienced software engineer with deep experience in building and shipping amazing products? Do you have high standards when it comes to code quality and user experiences? Are you the best developer on your team? Are you ready to work alongside the best engineers in the world for name-brand, industry leading companies? Do you want to work in a positive, uplifting work environment, for a company with a 4.5 star rating on GlassDoor? Is a competitive compensation and benefits package important to you?

Join FullStack Labs as we revolutionize the software consulting industry, and execute on our mission to rid the world of ugly, outdated, buggy software.

As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals in one of two ways: 1) Team Augmentation: You will integrate yourself directly into our client’s team and work alongside their existing engineers on a daily basis. 2) Design & Build: You will work on a FullStack Labs development team to build and ship greenfield applications for our clients.",4.4,Peru,51 to 200 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,FullStack Labs,7,0,0,0,0,0,0,0,0,DevOps Engineer,na,1063
11,Software Engineer (Consultant),"Wolfram Research, creator of Mathematica, Wolfram|Alpha and the Wolfram Language, has an opportunity for an experienced software engineer to adapt and extend Wolfram data frameworks as part of a small close-knit team. Typical tasks include improving and enhancing frameworks for constructing and populating the databases that hold Wolfram|Alpha's data and optimizing queries, including adding new query paths. Languages and tools used include MySQL, Java and the Wolfram Language. Applicants must be prepared to provide data modeling advice to content developers and be able to reason clearly about unfamiliar domains.

Location: Lima, Peru

Wolfram is an equal opportunity employer and values diversity at its company. Women, people of color, members of the LGBTQ community, individuals with disabilities and veterans are strongly encouraged to apply.",3.8,Peru,201 to 500 Employees,1987,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),Wolfram Research,33,0,0,0,0,0,0,1,0,software engineer,na,852
12,Associate Systems & Signaling Engineer,"Job description
Hitachi Rail is a fully integrated, global provider of rail solutions across rolling stock, signalling, service & maintenance, digital technology and turnkey. With a presence in 38 countries across three continents and over 13,000 employees, our mission is to contribute to society through the continuous development of superior rail transport solutions. Accountabilities:
Ensure the identificación of the project interfaces among the assigned subsystems and of external interfases according to the project scope of work.
Actively and proactively support the system engineering activities by ensuring that project activities are executed in accordance with the design standards
Contribute to the identification and management of the System Requirements for the entire life cycle of the project (Design and Testing)
Job requirements

• Bachelor's Degree
:
• English-Proficient
• Spanish - Proficient (preferred)

]]>",3.6,Peru,1001 to 5000 Employees,1999,Company - Private,Rail,Transportation & Logistics,Unknown / Non-Applicable,Hitachi Rail STS,21,0,0,0,0,0,0,0,0,mle,na,931
13,BI ENGINEER | RappiBank,"About RappiBank
At RappiBank, we will reshape the financial ecosystem by building the largest digital bank in Latin America. To accomplish this mission, we are assembling a world-class team to build and deliver high quality financial products to the market.
Data is our biggest asset and we are building a truly data driven company around it. We are hiring the most talented engineers and data scientists in Latin América to build world-class products from the ground up that will be used by millions.

About the role
As an effective BIE, you are an enabler. You will not work on ad-hoc data requests. You will develop solutions that enable people to self-serve. These solutions might be automated dashboards to visualize KPIs, scheduled ETLs, query templates, script packages, or training sessions. Your responsibility will be to empower other teams to get data & insights by engineering the solutions and processes required to enable them.",3.6,Peru,1001 to 5000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rappi,5,0,0,0,0,0,0,0,0,na,na,941
14,Data Analyst - Lima,"Descripción de la empresa

SGS del Perú, compañía de origen suizo, referente mundial en servicios de inspección, verificación, análisis y certificación de productos y servicios con presencia en más de 150 países a nivel mundial. Se encuentra en la búsqueda de un Data Analystpara el área de Data & Innovation

Descripción del empleo
Liderar proyectos de business analytics con metodología agile.
Elaborar dashboards para la unidad de negocio de AFL (Agriculture, food and life sciences services).
Realizar análisis cuantitativos y predictivos.
Requisitos
Información adicional",3.3,Peru,10000+ Employees,1878,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),SGS,142,0,0,0,0,0,0,0,0,analyst,na,576
15,Mobile Software Engineer | En-AV,"Job description
Analysis and specification of Software Requirements
Software Design Patterns
Software Development Methodologies (especially SCRUM)
Languages: Java for Android
SCM: Git - Gitflow
IDE: Android Studio
Dependency Manager: Gradle and / or Maven",4.5,Peru,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Encora,17,0,0,0,0,0,0,0,0,software engineer,na,255
16,Senior Infrastructure Engineer,"Protera Technologies, a leader in Global on-demand IT platform Services Company is looking to expand its Engineering Department by hiring a Systems Engineer who will join a fast paced, challenging environment with great career advancement opportunities.

Systems Engineer Level 3

Profile Required:
To contribute to the effective service provision of the Systems & Infrastructure Team.
Deliver strategic current projects, while balancing daily operation priorities but constantly strategizing and planning for future, imminent growth across all levels of the shared IT infrastructure.
Install, configure, test and maintain operating systems, application software and system management tools.
Position Qualifications:",4.4,Peru,201 to 500 Employees,1998,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Encora,22,0,0,0,0,0,0,0,0,na,senior,716
17,Project Management Engineer (current employees apply with self nomination form),"Purpose: This position exists to develop & further refine and improve the design of recreational vehicle products to satisfy marketability, customer experience and manufacturability requirements.

Essential Functions
Supports the development of specifications and design for projects from concept through development and prototyping and change requests.
Determines and formulates project parameters/requirements and translates them into an actionable plan by a team of workers and project stakeholders.
Lead and foster product excellence and continuous improvement while striving to reduce costs.
Management reserves the right to assign or reassign duties and responsibilities to this job at any time.",3.4,Peru,1001 to 5000 Employees,1968,Company - Public,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),Jayco,52,0,0,0,0,0,0,0,1,na,na,701
18,Senior Frontend Engineer,"We deliver technology to some of the best startups and companies in the world through diverse empowered teams of technologists that want to create change in the digital world.

We are a female led organization that was created to be a safe place for all people from all areas of life. A place where teams are gender balanced and compensated equally. And a place where careers are unrestrained regardless of cultural, educational or geographical background.

We value people with strong technical skills that are collaborative, curious, results driven, and take ownership. We embrace people that want to be themselves, have daily flexibility, grow, learn and make a difference wherever the opportunity presents itself.

So hope this sounds like you. Because we are always looking for an exceptional Senior Frontend Engineer to work in emersive client projects that will challenge your abilities. Ideally, we need you to have business level English language skills and over 5 years Senior level experience in:
A happy team makes a huge difference, that's why we provide:
ATHENAWORKS is an inclusive safe organization that only considers your technical ability, work experience, ability to collaborate, your capacity to grow to the next level of your career and ability to deliver great work. This means that we also embrace/welcome self-taught people as well! We will NEVER consider any other personal or professional aspects of your life. We hope that you choose to have a conversation with us today and find out what makes us different from any company that you have experienced.

]]>",1.0,Peru,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),ATHENAWORKS,-1,0,0,0,0,0,0,0,0,software engineer,senior,1584
19,Senior Front-end Software Engineer,"We are Able, a company building products through a portfolio model, and we are looking for a Front-end Developer to join our team!

Have you chosen React as your tool of the trade to build complex and satisfying client-side applications? Do you feel comfortable consuming APIs and building client stores while also mixing HTML and CSS (and have an opinion or two or whether to use it through Javascript)?

Able may be the right place for you, where we connect creative and challenging projects with a passionate and well-intended teamplus many other perks to boot.

Who are we looking for?


We are seeking someone that feels Someone that's currently interested in:
And if you happen to know something about back-end development, that's gonna get you an extra star in our book, but it won't be a requirement. We do hire Full-Stack Software Engineers if that piqued your interest.

We want to work with people who are passionate about collaborating, solving problems, being challenged, and nurturing relationships with their teams. People who are open about their shortcomings and what they do not know now, and remain eager to do whatever they need to close those gaps.

, they would also have:
Not completely there? That's totally fine! and get to know you and your talents!



We believe that people, teams, and well-thought processes are more important than the ideas themselves, and we're keen on bringing great people together while investing in their growth.

Our teams have built products in various industries, from media to finance to toys to healthcare. Sometimes we will work with management teams to help their businesses grow faster or unlock value using technology. Other times, we start or buy businesses outright. Each time, though, we will look for opportunities to leverage technology built at the portfolio-level to drive value faster and grow as a group.

And we like to put our money where our mouth is, offering great benefits to ensure you have the best experience working with us:
We know that a diverse team brings extraordinary success, and we have created a work environment geared towards work and life balance as well as happiness. Able is committed to inclusion and diversity and is an equal opportunity employer. All applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

This is but the beginning of a conversation we'd love to have with you.",4.1,Peru,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Able,-1,0,0,0,0,0,0,0,0,software engineer,senior,2492
20,Front End Engineer - Angular | En-AV,"The Infrastructure Engineering team are responsible for building and maintaining technology platforms and services, which various other teams throughout the organization rely on. Working closely with both the Engineering and IT groups, Infrastructure Engineers are a bridge between the departments, understanding the complexities of data centers and cloud platforms, while championing the idea of infrastructure as code.
Requirements
Working experience with Git and managed source control services like GitHub
Confidence within Agile software development teams, including frameworks like Scrum
Strong written and verbal communication skills, both one-on-one and within a team",4.5,Peru,1001 to 5000 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Able,17,0,0,0,0,0,0,0,0,na,na,675
21,Senior Full-Stack Software Engineer | Remote,"We are Able, a company building products through a portfolio model, and we are looking for a Full-Stack Software Engineer.

Do you enjoy the thrill of building complex full-stack solutions with ever-evolving interfaces? Would you like to create products for several industries, following our thesis of impacting the world to make it a better place for all?

Able may be the place you've been longing for. The one where creative and innovative projects meet with good-willing and passionate teams plus many other perks to boot that we can offer.

Who are we looking for?


We are seeking someone that feels . Specifically, someone who'd be interested in:
We want to work with the kind of people who have a passion for collaborating while solving problems, challenging, and nurturing relationships with their teams. The kind that is open about their shortcomings and what they do not know now, and remains eager to do whatever they need to close those gaps.

Ideally, they would also have:
Don't think you are quite there? That's fine too. and get to know you and your talents!



We believe that people, teams, and well-thought processes are more important than the ideas themselves, and we're keen on bringing great people together while investing in their growth.

Our teams have built products in various industries, from media to finance to toys to healthcare. Sometimes we will work with management teams to help their businesses grow faster or unlock value using technology. Other times, we start or buy businesses outright. Each time, though, we will look for opportunities to leverage technology built at the portfolio-level to drive value faster and grow as a group.

And we like to put our money where our mouth is, offering great benefits to ensure you have the best experience working with us:
We know that a diverse team brings extraordinary success, and we have created a work environment geared towards work and life balance as well as happiness. Able is committed to inclusion and diversity and is an equal opportunity employer. All applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

This is but the beginning of a conversation we'd love to have with you.",4.1,Peru,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Able,-1,0,0,0,0,0,0,0,0,software engineer,senior,2292
22,Senior Fullstack Engineer,"We deliver technology to some of the best startups and companies in the world through diverse empowered teams of technologists that want to create change in the digital world.

We are a female led organization that was created to be a safe place for all people from all areas of life. A place where teams are gender balanced and compensated equally. And a place where careers are unrestrained regardless of cultural, educational or geographical background.

We value people with strong technical skills that are collaborative, curious, results driven, and take ownership. We embrace people that want to be themselves, have daily flexibility, grow, learn and make a difference wherever the opportunity presents itself.

So hope this sounds like you. Because we are always looking for an exceptional Senior Fullstack Engineer to work in emersive client projects that will challenge your abilities. Ideally, we need you to have business level English language skills and over 5 years Senior level experience in:
A happy team makes a huge difference, that's why we provide:
ATHENAWORKS is an inclusive safe organization that only considers your technical ability, work experience, ability to collaborate, your capacity to grow to the next level of your career and ability to deliver great work. This means that we also embrace/welcome self-taught people as well! We will NEVER consider any other personal or professional aspects of your life. We hope that you choose to have a conversation with us today and find out what makes us different from any company that you have experienced.

]]>",1.0,Peru,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),ATHENAWORKS,-1,0,0,0,0,0,0,0,0,software engineer,senior,1585
23,Second-level Support Engineer - Remote,"
Bertoni Solutions is looking for a Second-level Support Engineer. We are a multinational team of individuals who believe that with the right knowledge and approach, technology is the answer to the challenges that business face today. We have been bringing this knowledge and approach to our customers since 2016, helping them translate technology into their success.

With Swiss roots and our own development team in Lima and throughout the region, we offer the best of both cultural areas: the talent and passion of Latin American professionals combined with Swiss organization skills and mindset.

Job Description

A second-level support engineer is tasked with receiving categorized support requests and resolving them efficiently and prioritized. You will be working with an ERP system running in the Azure Cloud on 6 continents. With extensive knowledge in database queries, you will be in charge of correcting erroneously recorded data, taking the necessary measures to safeguard the integrity of the data, backing up and restoring the information if necessary. You will be also in charge of working with incidents that handle information in JSON and XML format and working them in conjunction with the databases.

Qualifications

Additional Information



The skills that a Second-Level Senior Engineer should have are:",-1.0,Peru,1 to 50 Employees,-1,Contract,-1,-1,Less than $1 million (USD),Bertoni Solutions,-1,0,0,0,0,0,1,0,0,na,na,1327
24,Senior Full-Stack Software Engineer,"We are Able, a company building products through a portfolio model, and we are looking for a Full-Stack Software Engineer.

Do you enjoy the thrill of building complex full-stack solutions with ever-evolving interfaces? Would you like to create products for several industries, following our thesis of impacting the world to make it a better place for all?

Able may be the place you've been longing for. The one where creative and innovative projects meet with good-willing and passionate teams plus many other perks to boot that we can offer.

Who are we looking for?


We are seeking someone that feels . Specifically, someone who'd be interested in:
We want to work with the kind of people who have a passion for collaborating while solving problems, challenging, and nurturing relationships with their teams. The kind that is open about their shortcomings and what they do not know now, and remains eager to do whatever they need to close those gaps.

Ideally, they would also have:
Don't think you are quite there? That's fine too. and get to know you and your talents!



We believe that people, teams, and well-thought processes are more important than the ideas themselves, and we're keen on bringing great people together while investing in their growth.

Our teams have built products in various industries, from media to finance to toys to healthcare. Sometimes we will work with management teams to help their businesses grow faster or unlock value using technology. Other times, we start or buy businesses outright. Each time, though, we will look for opportunities to leverage technology built at the portfolio-level to drive value faster and grow as a group.

And we like to put our money where our mouth is, offering great benefits to ensure you have the best experience working with us:
We know that a diverse team brings extraordinary success, and we have created a work environment geared towards work and life balance as well as happiness. Able is committed to inclusion and diversity and is an equal opportunity employer. All applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

This is but the beginning of a conversation we'd love to have with you.",4.1,Peru,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bertoni Solutions,-1,0,0,0,0,0,0,0,0,software engineer,senior,2292
25,Senior Quality Assurance Engineer,"About Finsmart Perú:

Finsmart is an online platform that offers account receivables from SMEs with cash needs to those who want to invest in them. Our mission is to give access to financial and investment products for people and companies through technology. Our team is based in Peru, but now we're also recruiting talent from other countries.

What will you do at Finsmart?
Responsible for the testing of web applications, combined with back-end integration testing. Projects include FinTech and online banking solutions.
Prepare test plans and create, maintain, and execute test cases.
Write e2e tests to automate the QA process from the end-user perspective.",1.0,Peru,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),Finsmart,-1,0,0,0,0,0,0,0,0,na,senior,663
26,Software Engineer,"Position Overview:
LiveVox is a leading provider of cloud contact center and customer care solutions, managing more than 12 billion interactions annually. With 15+ years of pure cloud expertise, we empower effective channel of choice engagement strategies and enable our clients to excel in changing business environments. In the last several years, we expanded our best in class ‘4-clouds’ telephony platform into a comprehensive, omni-channel solution suite, including Workforce Optimization (WFO) and CRM. LiveVox is now the best-positioned solution for the $25 Billion midmarket and enterprise market, where customers are demanding a fully integrated, cloud-based, omni-channel customer care platform. We have over 450 employees globally and are rapidly growing in every department. Headquartered in San Francisco, our teams are located across the US, India, and Colombia. Come join our growing team! To learn more, visit LiveVox.com/Careers.
We are looking for front-end development engineers who are eager to use cutting edge development tools and techniques to deliver a best-in-class user experience.

In this position, you will work with your team lead to plan, design, build and execute new features on our SAAS platform. You will exploit our comprehensive CI environment and test harness, have an eye towards quality and insist on the highest standards.



We like to have fun, but at the same time, we’re serious about providing contact centers with an amazing platform in the cloud for running their services. We have strong and growing revenue and we’ve won a number of awards.

We:
LiveVox is proud to be an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires an accommodation, please let us know. We're always looking to bring smart, talented people with diverse backgrounds, interests, and experiences to join our team.",4.0,Colombia,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),LiveVox,20,0,0,0,0,0,0,0,1,software engineer,na,2225
27,Database Administrator 2,"Position Overview: Database Administrator 2

As a Database Administrator 2 at LiveVox, you will be responsible for managing, protecting, operating, testing and maintaining our company's databases. We expect the candidate to embrace, implement and enhance the data management practices and policies at LiveVox. Hands-on proficiency with Linux, Shell Scripting, RMAN, SQL Plus, SQL Developer/Toad, PLSQL and Data Pump utilities (expdp and impdp) are essential to perform your regular job functions. You will be working alongside a global Database team located across 3 different time zones. Candidates should be able to develop a rapid understanding of our product portfolio and contribute to the reliability of our platform. Must work well within a global and remote team environment and have strong communication and documentation skills. A strong work ethic and ability to provide on-call 24x7x365 support on rotation are expected.

Essential Functions and Responsibilities",4.0,Colombia,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),LiveVox,20,0,0,0,0,0,0,1,0,na,na,974
28,Data Engineer,"Descripción de Cargo
Nombre del Cargo:

Data Engineer
Vicepresidencia y área:

DA Hub
Jefe Inmediato:
Cargo Jefe Inmediato:

DA Platform Head
Lugar de Trabajo (ciudad y país):

Bogotá, Colombia",4.1,Colombia,10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),Experian,40,0,0,0,0,0,0,0,0,data engineer,na,193
29,Sr. Data Engineer,"We're a global IT consulting company helping our clients operate at their best, constantly developing new and exciting solutions to fulfill our clients’ needs.

At TEAM we might not always have the right opening for you available. But we are always interested in meeting great new talent and getting them onboard ASAP. This is why we have created our Talent Pool system through which we will preapprove high potential candidates so that when the time is right, we can expedite our hiring process.

We believe that a great workplace connects talented people and challenging tasks. And that's our underlying principle. If you want to work at one of the best global companies and be surrounded by people who support, you and push for innovation — come work with us

Responsibilities:


Must have skills:",4.4,Colombia,201 to 500 Employees,1991,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,TEAM International,29,0,0,0,0,0,0,0,0,data engineer,senior,800
